,Unnamed: 0,Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
0,0,1,1,2010-02-05,24924.5,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
1,1,1,2,2010-02-05,50605.27,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
2,2,1,3,2010-02-05,13740.12,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
3,3,1,4,2010-02-05,39954.04,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
4,4,1,5,2010-02-05,32229.38,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
5,5,1,6,2010-02-05,5749.03,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
6,6,1,7,2010-02-05,21084.08,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
7,7,1,8,2010-02-05,40129.01,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
8,8,1,9,2010-02-05,16930.99,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
9,9,1,10,2010-02-05,30721.5,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
10,10,1,11,2010-02-05,24213.18,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
11,11,1,12,2010-02-05,8449.54,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
12,12,1,13,2010-02-05,41969.29,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
13,13,1,14,2010-02-05,19466.91,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
14,14,1,16,2010-02-05,10217.55,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
15,15,1,17,2010-02-05,13223.76,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
16,16,1,18,2010-02-05,4729.5,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
17,17,1,19,2010-02-05,1947.05,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
18,18,1,20,2010-02-05,5034.1,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
19,19,1,21,2010-02-05,8907.63,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
20,20,1,22,2010-02-05,13623.98,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
21,21,1,23,2010-02-05,24146.49,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
22,22,1,24,2010-02-05,8272.9,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
23,23,1,25,2010-02-05,11609.5,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
24,24,1,26,2010-02-05,11737.12,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
25,25,1,27,2010-02-05,2293.0,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
26,26,1,28,2010-02-05,1085.29,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
27,27,1,29,2010-02-05,7024.95,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
28,28,1,30,2010-02-05,5491.0,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
29,29,1,31,2010-02-05,3455.92,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
30,30,1,32,2010-02-05,11875.84,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
31,31,1,33,2010-02-05,8589.77,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
32,32,1,34,2010-02-05,14350.83,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
33,33,1,35,2010-02-05,2770.0,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
34,34,1,36,2010-02-05,120.0,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
35,35,1,37,2010-02-05,3438.16,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
36,36,1,38,2010-02-05,115564.35,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
37,37,1,40,2010-02-05,66780.63,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
38,38,1,41,2010-02-05,1011.83,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
39,39,1,42,2010-02-05,8366.71,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
40,40,1,44,2010-02-05,4674.75,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
41,41,1,45,2010-02-05,37.44,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
42,42,1,46,2010-02-05,20837.77,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
43,43,1,47,2010-02-05,70.0,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
44,44,1,48,2010-02-05,814.0,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
45,45,1,49,2010-02-05,11501.46,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
46,46,1,51,2010-02-05,1.16,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
47,47,1,52,2010-02-05,3508.04,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
48,48,1,54,2010-02-05,439.0,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
49,49,1,55,2010-02-05,21249.31,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
